GyroX_mean,GyroX_std,GyroX_max,GyroX_min,GyroX_range,GyroX_derivative,GyroY_mean,GyroY_std,GyroY_max,GyroY_min,GyroY_range,GyroY_derivative,GyroZ_mean,GyroZ_std,GyroZ_max,GyroZ_min,GyroZ_range,GyroZ_derivative,AccX_mean,AccX_std,AccX_max,AccX_min,AccX_range,AccX_derivative,AccY_mean,AccY_std,AccY_max,AccY_min,AccY_range,AccY_derivative,AccZ_mean,AccZ_std,AccZ_max,AccZ_min,AccZ_range,AccZ_derivative,AccMag_mean,AccMag_std,AccMag_max,AccMag_min,AccMag_range,AccMag_derivative,AngX_mean,AngX_std,AngX_max,AngX_min,AngX_range,AngX_derivative,AngY_mean,AngY_std,AngY_max,AngY_min,AngY_range,AngY_derivative,AngZ_mean,AngZ_std,AngZ_max,AngZ_min,AngZ_range,AngZ_derivative,AngMag_mean,AngMag_std,AngMag_max,AngMag_min,AngMag_range,AngMag_derivative,Tag
-2.677917125,4.764924425004982,0.3051758,-12.93945,13.244625800000001,-0.0064493487493619195,-1.0833740375,1.7452670546012272,0.1831055,-5.065918,5.2490235,-0.00037387539561000506,0.09918213749999999,0.8010914837972875,1.647949,-1.281738,2.9296870000000004,-0.0005296566615620215,-0.04095459,0.012162132271290732,-0.02099609,-0.0625,0.041503910000000005,3.4895048494129653e-06,0.9940185875,0.007141759435168732,1.001465,0.9824219,0.01904310000000009,-6.4805002552322435e-06,-0.056823731375000006,0.03508442329901545,0.003417969,-0.09814453,0.101562499,5.034854977029096e-05,0.9970862708364249,0.007501982477928926,1.0046558908971677,0.9854965063931163,0.019159384504051413,-8.920501789583657e-06,92.80837875,1.555005231138997,94.76257,90.41199,4.350579999999994,-0.002220816743236342,2.06336975,0.3479504367725586,2.438965,1.494141,0.9448240000000001,-0.0003729402756508422,89.8407,0.22072597225648627,90.13184,89.60449,0.5273499999999984,-0.0002467585502807571,129.18928825294165,1.2631887115636564,130.80001025540045,127.33186242069021,3.468147834710237,-0.0017703664291527498,1
-1.4386853714285714,5.3614729740814155,4.272461,-12.93945,17.211911,-3.791006211180131e-05,-0.6626673999999999,1.941144574466357,2.746582,-3.601074,6.347656000000001,0.002274602049689441,-0.21798267142857147,1.2001116058357415,1.647949,-2.01416,3.662109,-0.0008340206211180125,-0.03313337,0.009231954143753461,-0.01953125,-0.04394531,0.02441406,-4.85248447204969e-06,0.9966518714285714,0.008398134409838562,1.007813,0.9848633,0.022949700000000073,6.672484472049754e-06,-0.018763951571428572,0.02139700603896837,0.009765625,-0.04492188,0.054687505,1.3344332298136645e-05,0.997609995253799,0.00871426974664852,1.0088179224575844,0.9854965063931163,0.023321416064468137,6.586244989939865e-06,90.78944714285714,1.0342349126885098,91.93359,89.57703,2.3565600000000018,-0.0013374658385093216,1.786063142857143,0.17464534133821857,2.010498,1.494141,0.5163570000000002,-6.823788819875779e-05,89.54563714285713,0.2517630288395744,89.79126,89.04968,0.741579999999999,6.482608695652357e-05,127.53328555474698,0.8319406777752131,128.52105649363418,126.55583381767012,1.965222675964057,-0.0009073270898776573,1
1.2207031333333334,2.6457174293022114,4.272461,-0.4272460999999999,4.6997070999999995,-0.008911133,-0.4272460333333334,3.1738280000000008,2.746582,-3.601074,6.347656000000001,0.012695312000000002,-0.7731119333333334,1.1682028218038567,0.3051758,-2.01416,2.3193358,0.004638671600000001,-0.033854166666666664,0.012745293663915058,-0.01953125,-0.04394531,0.02441406,-4.882812e-05,0.9978842666666666,0.0111383403257996,1.007813,0.9858398,0.021973200000000026,4.394640000000005e-05,-0.005696613333333333,0.013882422052695211,0.009765625,-0.01708984,0.026855465,-3.90625e-05,0.9985901524677475,0.011538473341628693,1.0088179224575844,0.9860816134693128,0.022736308988271614,4.547261797654323e-05,89.85168666666668,0.32381520815634557,90.20874,89.57703,0.6317100000000124,0.00038452000000000906,1.80542,0.14179754673829878,1.900635,1.642456,0.25817900000000016,0.0005163580000000003,89.38110333333333,0.3296052964279176,89.70886,89.04968,0.6591800000000063,0.0006481799999999965,126.75054099741338,0.18518838288783973,126.92445549620028,126.55583381767012,0.36862167853016103,0.0007372433570603221,1
0.9002686649999999,1.6695655513959338,3.356934,-0.3051758,3.6621097999999996,0.003923689095238095,-2.044677675,1.9413273116562515,0.1220702999999999,-4.394531,4.5166013,-0.0020345047619047614,0.5187987099999999,1.6236576569699628,2.380371,-1.403809,3.78418,0.0029064359047619045,-0.052490235,0.00742123060525005,-0.04736328,-0.06347656,0.01611328,1.7438690476190436e-06,0.9938963249999999,0.012847603993838724,1.007324,0.9824219,0.02490210000000015,-2.2669761904761798e-05,-0.016845702750000004,0.018332777652342,0.007324219,-0.03271484,0.040039059,4.359654642857143e-05,0.995566226184077,0.013364946588953288,1.0098520561951931,0.9837902943854584,0.02606176180973474,-2.320409352728005e-05,90.80886749999999,0.2575493731792039,91.13159,90.50537,0.6262200000000036,-0.0003073571428571379,2.67654425,0.2969825580045345,3.010254,2.389526,0.6207280000000002,9.155357142857144e-05,90.7690425,0.5364405258973259,91.46118,90.18127,1.279910000000001,-0.001523702380952382,128.42348029769386,0.4827896951610621,128.87544098896257,127.78875826741397,1.0866827215485984,-0.0012936699066054742,1
0.22670223714285706,2.0516391773068317,3.356934,-2.502441,5.859375,0.0011934250502793297,-1.2207031,2.237308347112769,1.464844,-4.394531,5.859375,0.002318654189944134,0.75857972,1.2145113383563078,2.380371,-1.403809,3.78418,0.0005455656201117318,-0.04275948714285715,0.013807390747296313,-0.0234375,-0.06347656,0.04003906,1.4184709497206703e-05,0.9970003714285713,0.01086133775135678,1.009277,0.9824219,0.02685510000000002,3.8189944134078575e-06,-0.01994977585714286,0.014138893095565513,0.007324219,-0.03271484,0.040039059,4.637312849162013e-06,0.9982833185094722,0.01093003013918816,1.0098520561951931,0.9837902943854584,0.02606176180973474,3.1901731802023613e-06,90.71175714285714,0.3482687128121157,91.13159,90.06592,1.0656699999999972,0.0001227541899441332,2.2702462857142858,0.5814172090130902,3.010254,1.362305,1.647949,-0.0005738664804469274,90.09259857142857,0.9258140279132494,91.46118,89.12109,2.3400900000000036,-0.0012336592178770907,127.87116192634014,0.7992686040603193,128.87544098896257,126.718999303228,2.1564416857345634,-0.0007910843958716113,1
-0.56457505,1.5824643621906633,2.197266,-2.502441,4.699707,-0.00010344971751412429,0.480651825,1.4783825267564459,1.464844,-2.990723,4.455567,0.001896572824858757,-0.11444084999999993,1.2497576463607392,1.586914,-2.075195,3.662109,-0.0016207073446327684,-0.02459716875,0.007820942749045096,-0.01513672,-0.03710938,0.021972659999999998,3.862112994350281e-06,1.001037625,0.0057207811631304496,1.009277,0.9936523,0.015624699999999936,6.345028248587529e-06,-0.018920897375,0.008564330103012028,-0.007324219,-0.03222656,0.024902341,1.2413926553672318e-05,1.0015774315664716,0.0056904194137238915,1.009767406351848,0.9947710355612132,0.014996370790634872,5.945818805529324e-06,90.762175,0.3410404812586648,91.14807,90.06592,1.0821499999999986,-0.00010551977401130502,1.4769743750000002,0.33865248204272247,2.015991,1.049194,0.9667970000000001,-0.00017069152542372885,89.48020875,0.27998963202424415,89.79126,89.12109,0.6701699999999988,0.00031345197740113184,127.4629924115084,0.3670768723149501,127.88966362506173,126.718999303228,1.1706643218337263,0.0001426547417791639,1
0.06866463750000007,1.9124948628122505,4.211426,-1.89209,6.103516000000001,0.0018751765060240966,0.7095336875,0.8168798341357094,1.89209,-0.6103516,2.5024416,-0.0008088996987951807,-0.610351475,0.8482411419694078,0.4272460999999999,-2.075195,2.5024411,-0.0008088996385542168,-0.02465820375,0.007152468455113816,-0.01513672,-0.03222656,0.017089840000000002,-9.706795180722892e-06,1.0003053124999999,0.0042563542801783505,1.004883,0.9946289,0.010254099999999933,3.8241566265060045e-06,-0.0083007807875,0.012671142885260946,0.01171875,-0.02783203,0.03955078,4.118034759036144e-06,1.000735782507284,0.004361518811045339,1.0053912012389614,0.9947710355612132,0.010620165677748261,4.032391166209328e-06,90.340575,0.7653486458004416,91.14807,89.17603,1.972040000000007,-0.0008537530120481863,1.5531920000000001,0.37250392082308537,1.999512,1.049194,0.950318,0.0004897524096385542,89.87571750000001,0.37090745722003104,90.45044,89.32983,1.1206099999999992,0.0006287409638554243,127.44462992349796,0.333167185169645,127.88966362506173,127.02526176794805,0.8644018571136769,-0.0001549775764690038,1
1.7438616714285715,2.98903165381874,7.019043,-1.342773,8.361816,0.0007761693641618497,-0.9068080142857143,1.5843408957650291,1.89209,-2.807617,4.699707,-0.002257947976878613,-0.2354213142857143,0.5542993175970344,0.3662109,-0.9155273,1.2817382,0.00021168260115606938,-0.03648158428571429,0.006675443964563599,-0.02636719,-0.04394531,0.017578120000000003,-1.0160763005780349e-05,1.0018136142857144,0.006469881132970034,1.009766,0.9921875,0.01757849999999994,-4.797976878612742e-06,-0.026576451042857142,0.030849248659448707,0.01171875,-0.06689453,0.07861328,-2.907108323699422e-05,1.0032540018282072,0.006739901366315809,1.0118840704239194,0.9943597999248275,0.017524270499091887,-3.7437321131045478e-06,90.82162142857143,1.321268874004941,92.19727,89.17603,3.021240000000006,0.001276445086705198,2.1132987142857145,0.22880233199548347,2.444458,1.884155,0.560303,0.0002857716763005781,89.85717999999999,0.5272097994789817,90.45044,89.12659,1.3238500000000073,-0.0004540578034682112,127.78397300359464,0.66711469279156,128.44802634501303,127.02526176794805,1.4227645770649815,0.0005949503762673138,1
0.6626672714285714,3.3284086991547586,7.019043,-2.990723,10.009765999999999,-0.00585366432748538,-1.0288783428571429,1.3360187459114135,0.7324219,-2.807617,3.5400389,0.001249257485380117,0.05231584285714284,0.6708580702807533,1.159668,-0.793457,1.953125,0.0004283169005847953,-0.03836495571428572,0.004824331798729082,-0.03076172,-0.04394531,0.013183590000000002,-2.855438596491232e-07,1.0032086428571427,0.0059124393493315075,1.009766,0.9921875,0.01757849999999994,-3.1409356725146285e-06,-0.04708426285714285,0.010950488267710124,-0.03125,-0.06689453,0.035644529999999994,-8.56633918128655e-06,1.0051067870562662,0.0058586591925747335,1.0118840704239194,0.9943597999248275,0.017524270499091887,-2.7976307603988796e-06,91.72720714285713,0.36132432544342236,92.19727,91.21399,0.9832800000000077,7.067251461988558e-05,2.168230428571429,0.18839533477668458,2.444458,1.972046,0.47241200000000005,3.533625730994162e-05,89.12737285714286,0.6465352097066901,90.25818,88.48938,1.7687999999999988,-0.0009990526315789422,127.9161707889797,0.511453929417797,128.44802634501303,127.22912801804249,1.218898326970546,-0.0006479567845967379,1
-1.7002653285714289,1.1993725197200782,0.6713867,-2.990723,3.6621097000000002,0.00045600977011494247,0.34005302857142855,0.6562884424969295,1.159668,-0.6713867,1.8310547,-0.0004910874712643677,-0.026157914285714297,0.5625586959651571,1.159668,-0.4272460999999999,1.5869140999999998,-0.0008769418965517241,-0.036830357142857144,0.00560182173804116,-0.03076172,-0.04394531,0.013183590000000002,-7.576775862068967e-06,1.0011160857142856,0.0019473137629639026,1.003906,0.9985352,0.005370800000000009,5.614942528735664e-07,-0.02050781228571429,0.022336753859906657,0.001953125,-0.04589844,0.047851565,2.441406034482759e-05,1.0022292544449933,0.0023631667257003617,1.0056947320529435,0.9991917163691825,0.006503015683760993,3.733988663220912e-07,90.22835714285715,1.3250290106599478,91.72485,88.82446,2.9003900000000016,-0.0016258505747126445,2.1258545714285715,0.11483220536774093,2.268677,1.983032,0.2856449999999999,5.998275862068957e-05,88.68634857142858,0.16293616944768435,88.89038,88.48938,0.40099999999999625,0.00023045977011494038,126.5380681583773,0.8369149016078395,127.53532974538125,125.68385435753603,1.8514753878452126,-0.0009967728541710294,1
